Description,ID,Feature,group,KO Description
Bacterial chemotaxis,ko02030,K03406,Abscess,mcp; methyl-accepting chemotaxis protein
Bacterial chemotaxis,ko02030,K02417,Abscess,fliN; flagellar motor switch protein FliN
Terpenoid backbone biosynthesis,ko00900,K12506,Abscess,"ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]"
Terpenoid backbone biosynthesis,ko00900,K00804,Abscess,"GGPS1; geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
Terpenoid backbone biosynthesis,ko00900,K00919,Abscess,ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]
One carbon pool by folate,ko00670,K00282,Abscess,gcvPA; glycine cleavage system P protein (glycine dehydrogenase) subunit 1 [EC:1.4.4.2]
One carbon pool by folate,ko00670,K00283,Abscess,gcvPB; glycine cleavage system P protein (glycine dehydrogenase) subunit 2 [EC:1.4.4.2]
One carbon pool by folate,ko00670,K03465,Abscess,"thyX, thy1; thymidylate synthase (FAD) [EC:2.1.1.148]"
Nitrogen metabolism,ko00910,K00266,Abscess,gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
Nitrogen metabolism,ko00910,K02588,Abscess,nifH; nitrogenase iron protein NifH
Nitrogen metabolism,ko00910,K05601,Abscess,hcp; hydroxylamine reductase [EC:1.7.99.1]
